Date,Open,High,Low,Close,Volume,Market Cap
1/8/17,0.128325,0.134773,0.127755,0.132609,69033.00,6416250.00
1/7/17,0.135505,0.135759,0.125106,0.131104,53818.00,6775250.00
1/6/17,0.131087,0.139018,0.131087,0.135472,54666.00,6554350.00
1/5/17,0.136797,0.143977,0.126582,0.13107,206224.00,6839850.00
1/4/17,0.140294,0.142834,0.134433,0.136734,94045.00,7014700.00
1/3/17,0.145645,0.147282,0.139653,0.140422,90544.00,7282250.00
1/2/17,0.141841,0.147746,0.141841,0.145642,75921.00,7092050.00
1/1/17,0.144763,0.147274,0.139742,0.141841,63512.00,7238150.00
12/31/16,0.147526,0.148837,0.142705,0.144763,61000.00,7376300.00
12/30/16,0.143599,0.14807,0.136893,0.147527,69464.00,7179950.00
12/29/16,0.150688,0.151915,0.140106,0.14095,100992.00,7534400.00
12/28/16,0.158032,0.162041,0.14599,0.150689,118030.00,7901600.00
12/27/16,0.1666,0.177395,0.153932,0.158032,265268.00,8330000.00
12/26/16,0.146785,0.182563,0.141148,0.166597,579250.00,7339250.00
12/25/16,0.144213,0.153788,0.141296,0.146788,239670.00,7210650.00
12/24/16,0.139545,0.151804,0.136822,0.146916,132934.00,6977250.00
12/23/16,0.155059,0.157925,0.131227,0.137593,187645.00,7752950.00
12/22/16,0.166441,0.184986,0.147481,0.155065,544880.00,8322050.00
12/21/16,0.120868,0.168983,0.118599,0.167117,635204.00,6043400.00
12/20/16,0.121536,0.124127,0.115108,0.120868,73913.00,6076800.00
12/19/16,0.11526,0.121812,0.106848,0.121387,55326.00,5763000.00
12/18/16,0.105842,0.117273,0.101063,0.11526,37746.00,5292100.00
12/17/16,0.114445,0.115568,0.10174,0.105842,62650.00,5722250.00
12/16/16,0.109869,0.118707,0.109327,0.114432,49515.00,5493450.00
12/15/16,0.121012,0.123902,0.109819,0.109837,38086.00,6050600.00
12/14/16,0.12793,0.12793,0.120364,0.121008,50948.00,6396500.00
12/13/16,0.133035,0.136888,0.125618,0.127959,30845.00,6651750.00
12/12/16,0.122082,0.140238,0.122082,0.129977,57019.00,6104100.00
12/11/16,0.125352,0.128221,0.12073,0.122134,41967.00,6267600.00
12/10/16,0.130952,0.132206,0.12477,0.125328,37027.00,6547600.00
12/9/16,0.134409,0.136923,0.129699,0.13007,54783.00,6720450.00
12/8/16,0.137448,0.138971,0.134429,0.134429,31065.00,6872400.00
12/7/16,0.136196,0.142794,0.134726,0.13745,51152.00,6809800.00
12/6/16,0.13896,0.14181,0.135703,0.136097,54376.00,6948000.00
12/5/16,0.14727,0.14727,0.138194,0.141459,71656.00,7363500.00
12/4/16,0.142444,0.157052,0.142444,0.14717,109462.00,7122200.00
12/3/16,0.141987,0.144054,0.136455,0.142444,121437.00,7099350.00
12/2/16,0.140119,0.145737,0.138452,0.141991,69742.00,7005950.00
12/1/16,0.144522,0.144846,0.138559,0.140114,62769.00,7226100.00
11/30/16,0.149963,0.150848,0.140499,0.144636,63418.00,7498150.00
11/29/16,0.167861,0.167909,0.141612,0.149953,121979.00,8393050.00
11/28/16,0.173073,0.175046,0.166608,0.167994,92873.00,8653650.00
11/27/16,0.174134,0.179557,0.173007,0.17305,34618.00,8706700.00
11/26/16,0.174608,0.185637,0.173892,0.174141,53456.00,8730400.00
11/25/16,0.171903,0.191663,0.171885,0.174514,148809.00,8595150.00
11/24/16,0.167006,0.186579,0.165703,0.171955,252878.00,8350300.00
11/23/16,0.168883,0.172495,0.16694,0.167085,18866.00,8444150.00
11/22/16,0.173474,0.17422,0.167397,0.168892,30457.00,8673700.00
11/21/16,0.171,0.174966,0.169408,0.173476,13977.00,8550000.00
11/20/16,0.169929,0.171309,0.161549,0.170999,6888.00,8496450.00
11/19/16,0.172135,0.17649,0.168427,0.169928,20977.00,8606750.00
11/18/16,0.173267,0.196769,0.16942,0.172177,170258.00,8663350.00
11/17/16,0.162654,0.177109,0.16256,0.17328,115600.00,8132700.00
11/16/16,0.173875,0.177754,0.153992,0.162529,52767.00,8693750.00
11/15/16,0.183863,0.183864,0.172835,0.173875,58217.00,9193150.00
11/14/16,0.170347,0.196291,0.168508,0.183786,161342.00,8517350.00
11/13/16,0.168699,0.172853,0.163703,0.169917,47661.00,8434950.00
11/12/16,0.172603,0.179612,0.166288,0.168695,38920.00,8630150.00
11/11/16,0.168293,0.181036,0.165815,0.176226,92296.00,8414650.00
11/10/16,0.159342,0.179854,0.154536,0.168272,226859.00,7967100.00
11/9/16,0.161599,0.166946,0.156541,0.159859,51101.00,8079950.00
11/8/16,0.173073,0.173376,0.160523,0.161594,64487.00,8653650.00
11/7/16,0.163957,0.174019,0.143322,0.173087,264007.00,8197850.00
11/6/16,0.1608,0.16817,0.15675,0.164002,52679.00,8040000.00
11/5/16,0.175934,0.181375,0.156657,0.160797,165265.00,8796700.00
11/4/16,0.173574,0.183584,0.168351,0.175917,123337.00,8678700.00
11/3/16,0.197962,0.19817,0.155788,0.173534,265799.00,9898100.00
11/2/16,0.214646,0.219169,0.191732,0.197941,242163.00,10732300.00
11/1/16,0.228232,0.239149,0.204285,0.211322,411699.00,11411600.00
10/31/16,0.18161,0.229291,0.177568,0.228251,917488.00,9080500.00
10/30/16,0.172946,0.18382,0.170264,0.181026,377793.00,8647300.00
10/29/16,0.151237,0.176248,0.151237,0.170166,714101.00,7561850.00
10/28/16,0.127447,0.159842,0.12378,0.151552,545958.00,6372350.00
10/27/16,0.129608,0.140409,0.124055,0.127426,169528.00,6480400.00
10/26/16,0.1357,0.16963,0.121312,0.129615,494772.00,6785000.00
10/25/16,0.093621,0.322439,0.092699,0.135712,365986.00,
10/24/16,0.081,0.100103,0.076476,0.093762,522611.00,
10/23/16,0.081487,0.085211,0.076681,0.082726,107073.00,
10/22/16,0.080197,0.096001,0.080013,0.081484,293121.00,
10/21/16,0.092487,0.093918,0.072287,0.080181,269793.00,
10/20/16,0.117083,0.117172,0.085342,0.092682,286750.00,
10/19/16,0.197446,0.205554,0.111325,0.117084,228476.00,
10/18/16,0.192736,0.289527,0.179325,0.19744,406917.00,
10/17/16,0.175871,0.192747,0.175284,0.192747,12989.00,
10/16/16,0.179883,0.19069,0.175885,0.175901,16019.00,
10/15/16,0.191007,0.191007,0.179885,0.179885,596.00,
10/14/16,0.1854,0.19109,0.176211,0.191014,2335.00,
10/13/16,0.186072,0.186072,0.175498,0.185407,1318.00,
10/12/16,0.193611,0.193611,0.175684,0.186052,12201.00,
10/11/16,0.193114,0.195352,0.181615,0.193575,5949.00,
10/10/16,0.186466,0.202517,0.180081,0.193108,11204.00,
10/9/16,0.205045,0.205045,0.178857,0.186541,30052.00,
10/8/16,0.202812,0.223037,0.185864,0.205229,31830.00,
10/7/16,0.179898,0.20284,0.179898,0.20284,5785.00,
10/6/16,0.289361,0.291334,0.180059,0.180059,2612.00,
10/5/16,0.185765,0.289548,0.179917,0.289392,1864.00,
10/4/16,0.178659,0.185843,0.178659,0.185843,506.00,
10/3/16,0.177613,0.192425,0.177613,0.178713,913.00,
10/2/16,0.202302,0.202303,0.177092,0.177279,4178.00,
10/1/16,0.184979,0.216455,0.184979,0.202293,2748.00,
9/30/16,0.191685,0.194601,0.180176,0.184939,2032.00,
9/29/16,0.194845,0.208155,0.175516,0.191738,11050.00,
9/28/16,0.197915,0.21275,0.184495,0.194798,6354.00,
9/27/16,0.202473,0.202473,0.179976,0.197913,19806.00,
9/26/16,0.199118,0.224506,0.193879,0.202491,9657.00,
9/25/16,0.213843,0.224547,0.192797,0.198994,3075.00,
9/24/16,0.243321,0.25485,0.213843,0.213843,21740.00,
9/23/16,0.252745,0.277371,0.241462,0.243237,16845.00,
9/22/16,0.303806,0.308768,0.252592,0.252723,54002.00,
9/21/16,0.312539,0.318675,0.303564,0.303794,156.00,
9/20/16,0.331291,0.336507,0.309502,0.312621,1171.00,
9/19/16,0.384877,0.384881,0.331207,0.331296,1448.00,
9/18/16,0.426591,0.427137,0.384916,0.384916,105159.00,
9/17/16,0.388924,0.427314,0.388896,0.426568,21060.00,
9/16/16,0.349726,0.389464,0.348948,0.388858,15105.00,
9/15/16,0.325188,0.365124,0.325024,0.349832,1982.00,
9/14/16,0.309516,0.337779,0.306223,0.325127,4129.00,
9/13/16,0.374469,0.375092,0.301766,0.309509,3337.00,
9/12/16,0.376312,0.376671,0.360443,0.374598,1116.00,
9/11/16,0.390948,0.398459,0.37279,0.37615,879.00,
9/10/16,0.558536,0.559143,0.37096,0.391001,811.00,
9/9/16,0.181483,0.558951,0.181357,0.558478,1349.00,
