Date,bitcoin_Open,bitcoin_High,bitcoin_Low,bitcoin_Close,bitcoin_Volume,bitcoin_Market Cap,iota_Open,iota_High,iota_Low,iota_Close,iota_Volume,iota_Market Cap,bitcoin_cash_Open,bitcoin_cash_High,bitcoin_cash_Low,bitcoin_cash_Close,bitcoin_cash_Volume,bitcoin_cash_Market Cap,bitconnect_Open,bitconnect_High,bitconnect_Low,bitconnect_Close,bitconnect_Volume,bitconnect_Market Cap,waves_Open,waves_High,waves_Low,waves_Close,waves_Volume,waves_Market Cap,stratis_Open,stratis_High,stratis_Low,stratis_Close,stratis_Volume,stratis_Market Cap,ripple_Open,ripple_High,ripple_Low,ripple_Close,ripple_Volume,ripple_Market Cap,qtum_Open,qtum_High,qtum_Low,qtum_Close,qtum_Volume,qtum_Market Cap,ethereum_classic_Open,ethereum_classic_High,ethereum_classic_Low,ethereum_classic_Close,ethereum_classic_Volume,ethereum_classic_Market Cap,omisego_Open,omisego_High,omisego_Low,omisego_Close,omisego_Volume,omisego_Market Cap,numeraire_Open,numeraire_High,numeraire_Low,numeraire_Close,numeraire_Volume,numeraire_Market Cap,nem_Open,nem_High,nem_Low,nem_Close,nem_Volume,nem_Market Cap,litecoin_Open,litecoin_High,litecoin_Low,litecoin_Close,litecoin_Volume,litecoin_Market Cap,ethereum_Open,ethereum_High,ethereum_Low,ethereum_Close,ethereum_Volume,ethereum_Market Cap,dash_Open,dash_High,dash_Low,dash_Close,dash_Volume,dash_Market Cap,monero_Open,monero_High,monero_Low,monero_Close,monero_Volume,monero_Market Cap
9/1/13,135.14,145.81,134.81,138.34,-,1572230000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005623,0.005872,0.005574,0.005787,,43960300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,2.76,2.54,2.58,,53981600.00,,,,,,,,,,,,,,,,,,
8/31/13,133.09,140.89,132.72,135.35,-,1547640000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005913,0.006081,0.005576,0.005632,,46223800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,2.69,2.55,2.58,,55259800.00,,,,,,,,,,,,,,,,,,
8/30/13,122.35,135.75,120.99,133.49,-,1422120000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00576,0.006264,0.00561,0.00593,,45034300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,2.73,2.51,2.66,,52649500.00,,,,,,,,,,,,,,,,,,
8/29/13,122.62,123.7,122.21,122.39,-,1424680000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006246,0.006246,0.005756,0.005763,,48829100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,2.58,2.52,2.55,,52612100.00,,,,,,,,,,,,,,,,,,
8/28/13,126.48,127.32,122.62,122.62,-,1468960000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006451,0.006463,0.006066,0.006246,,50433400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,2.6,2.51,2.52,,53333500.00,,,,,,,,,,,,,,,,,,
8/27/13,120.07,127.24,120.07,126.5,-,1394010000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006468,0.006936,0.006373,0.006452,,50569200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.65,2.49,2.57,,53123200.00,,,,,,,,,,,,,,,,,,
8/26/13,122.11,122.75,119.93,120.06,-,1417200000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006104,0.006507,0.006065,0.006417,,47719500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,2.65,2.56,2.57,,53225200.00,,,,,,,,,,,,,,,,,,
8/25/13,119.6,122.99,119.17,122.11,-,1387640000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005526,0.006148,0.005519,0.006104,,43198100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,2.71,2.52,2.59,,55274700.00,,,,,,,,,,,,,,,,,,
8/24/13,118.51,121.39,118.02,120.05,-,1374420000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005139,0.005603,0.005126,0.005546,,40176000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,2.78,2.67,2.69,,56421100.00,,,,,,,,,,,,,,,,,,
8/23/13,122,122,118.44,118.5,-,1414290000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005179,0.005232,0.004919,0.005139,,40487300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,2.88,2.67,2.72,,57221800.00,,,,,,,,,,,,,,,,,,
8/22/13,123.3,123.5,120.6,121.15,-,1428700000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006131,0.006138,0.005143,0.005143,,47928700.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.78,2.59,2.75,,55332200.00,,,,,,,,,,,,,,,,,,
8/21/13,121.21,124.91,119.68,123.3,-,1403890000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006098,0.006349,0.00595,0.006131,,47675800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,2.84,2.59,2.7,,56892500.00,,,,,,,,,,,,,,,,,,
8/20/13,119,123.01,117.51,121.2,-,1377730000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005376,0.006158,0.005309,0.006098,,42031100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,2.88,2.76,2.78,,57817600.00,,,,,,,,,,,,,,,,,,
8/19/13,113.38,123.06,111.77,119,-,1312160000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005587,0.005839,0.005223,0.00526,,43678200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.89,2.74,2.82,,57253600.00,,,,,,,,,,,,,,,,,,
8/18/13,112.75,114.69,112,113.5,-,1304320000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005687,0.006263,0.005585,0.005617,,44458200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.86,2.77,2.8,,57183000.00,,,,,,,,,,,,,,,,,,
