Date,Open,High,Low,Close,Volume,Market Cap
3/23/17,0.136738,0.138148,0.124152,0.13146,188451.00,13443600.00
3/22/17,0.137352,0.140759,0.115191,0.135158,366482.00,13503800.00
3/21/17,0.126506,0.152415,0.123074,0.137328,776284.00,12437300.00
3/20/17,0.11168,0.130109,0.106935,0.125509,463863.00,10979500.00
3/19/17,0.094221,0.113646,0.090427,0.1098,312382.00,9263000.00
3/18/17,0.101376,0.119749,0.092855,0.09475,537637.00,9966270.00
3/17/17,0.090895,0.107788,0.085303,0.098099,344795.00,8935720.00
3/16/17,0.096028,0.096176,0.086168,0.091484,154328.00,9440240.00
3/15/17,0.09981,0.102132,0.09354,0.095897,102472.00,9811920.00
3/14/17,0.102961,0.105543,0.094243,0.100155,167912.00,10121600.00
3/13/17,0.095199,0.109308,0.091849,0.102315,289622.00,9358400.00
3/12/17,0.082076,0.097836,0.08135,0.092499,200131.00,8068250.00
3/11/17,0.07886,0.088702,0.07886,0.082104,145609.00,7752020.00
3/10/17,0.080935,0.083057,0.073336,0.078365,136005.00,7955930.00
3/9/17,0.078446,0.082267,0.075406,0.080876,46051.00,7711140.00
3/8/17,0.086338,0.08961,0.077563,0.077563,62746.00,8486820.00
3/7/17,0.093447,0.094208,0.084701,0.086668,103288.00,9185420.00
3/6/17,0.097186,0.098573,0.092981,0.093419,47575.00,9552870.00
3/5/17,0.095322,0.099697,0.095069,0.097159,35312.00,9369480.00
3/4/17,0.099793,0.102936,0.093707,0.095387,65177.00,9808840.00
3/3/17,0.099143,0.108012,0.093349,0.099876,345930.00,9744840.00
3/2/17,0.085495,0.102121,0.083405,0.098469,271066.00,8403250.00
3/1/17,0.077824,0.089359,0.076961,0.085343,132673.00,7649170.00
2/28/17,0.078321,0.080205,0.074682,0.077818,33822.00,7697870.00
2/27/17,0.081441,0.0818,0.077976,0.078784,29629.00,8004480.00
2/26/17,0.081604,0.086766,0.07696,0.081541,89013.00,8020400.00
2/25/17,0.075336,0.08301,0.075069,0.081161,75347.00,7404260.00
2/24/17,0.078483,0.079971,0.071332,0.075547,68828.00,7713450.00
2/23/17,0.077133,0.081645,0.076524,0.077983,55835.00,7580700.00
2/22/17,0.079113,0.083434,0.077122,0.077146,68715.00,7775160.00
2/21/17,0.077732,0.081409,0.075002,0.079149,59798.00,7639330.00
2/20/17,0.078213,0.082518,0.078129,0.078187,69816.00,7686470.00
2/19/17,0.075533,0.080745,0.07414,0.078151,40602.00,7423040.00
2/18/17,0.08191,0.083076,0.072867,0.075397,122520.00,8049640.00
2/17/17,0.082282,0.087892,0.081255,0.082092,63601.00,8086080.00
2/16/17,0.086028,0.08802,0.080301,0.082273,93627.00,8454090.00
2/15/17,0.077357,0.08879,0.076366,0.087122,131445.00,7601910.00
2/14/17,0.077011,0.078666,0.073148,0.077312,142798.00,7567750.00
2/13/17,0.081615,0.082192,0.07696,0.076966,77826.00,8020140.00
2/12/17,0.082676,0.082684,0.079895,0.081639,71479.00,8124220.00
2/11/17,0.085904,0.089112,0.078969,0.082252,231455.00,8441350.00
2/10/17,0.088712,0.089549,0.084462,0.085885,52630.00,8717130.00
2/9/17,0.095246,0.097714,0.085348,0.0886,69367.00,9359060.00
2/8/17,0.095849,0.098826,0.093827,0.095119,79781.00,9418180.00
2/7/17,0.095959,0.102484,0.093552,0.096076,89575.00,9428940.00
2/6/17,0.087317,0.096752,0.086319,0.095773,112679.00,8579590.00
2/5/17,0.08935,0.09102,0.084208,0.087231,84386.00,8779260.00
2/4/17,0.096011,0.097377,0.087365,0.088284,110928.00,9433640.00
2/3/17,0.095478,0.096592,0.08799,0.095879,160805.00,9381150.00
2/2/17,0.091754,0.097918,0.089708,0.09551,123522.00,9015170.00
2/1/17,0.090561,0.10106,0.088551,0.090579,236785.00,8897770.00
1/31/17,0.095331,0.102837,0.085576,0.090557,317006.00,9366320.00
1/30/17,0.105612,0.10824,0.092744,0.095316,177443.00,10376300.00
1/29/17,0.099559,0.108755,0.096696,0.105486,206905.00,9781460.00
1/28/17,0.105297,0.125399,0.095795,0.098184,723195.00,10345100.00
1/27/17,0.085806,0.114132,0.084951,0.105177,700301.00,8430090.00
1/26/17,0.08117,0.091128,0.079183,0.085182,246990.00,7974480.00
1/25/17,0.075874,0.081221,0.074892,0.081218,85150.00,7454070.00
1/24/17,0.086112,0.087053,0.074899,0.075847,189394.00,8459760.00
1/23/17,0.076673,0.094364,0.076673,0.087383,457257.00,7532420.00
1/22/17,0.073346,0.077366,0.070477,0.076585,84029.00,7205440.00
1/21/17,0.067719,0.076926,0.067719,0.073326,56137.00,6652520.00
1/20/17,0.072514,0.073279,0.067651,0.067718,68864.00,7123570.00
1/19/17,0.059815,0.077696,0.059104,0.072556,307059.00,5875980.00
1/18/17,0.058965,0.060681,0.055384,0.059331,48399.00,5792340.00
1/17/17,0.060448,0.062535,0.05774,0.058927,78962.00,5937980.00
1/16/17,0.051045,0.060532,0.051031,0.060429,73450.00,5014180.00
1/15/17,0.049431,0.051648,0.049244,0.051008,34667.00,4855600.00
1/14/17,0.050261,0.051908,0.049187,0.04945,32396.00,4937040.00
1/13/17,0.049823,0.052415,0.04792,0.050191,49029.00,4893950.00
1/12/17,0.048437,0.051301,0.046537,0.049916,30535.00,4757810.00
1/11/17,0.056425,0.058835,0.047551,0.048447,40830.00,5542380.00
1/10/17,0.054647,0.058804,0.054299,0.05642,41411.00,5367670.00
1/9/17,0.059551,0.059969,0.05328,0.054677,106851.00,5849220.00
1/8/17,0.063441,0.065208,0.053345,0.059994,86560.00,6231240.00
1/7/17,0.063932,0.064033,0.057462,0.06344,50383.00,6279410.00
1/6/17,0.072944,0.076102,0.061764,0.063573,67421.00,7164490.00
1/5/17,0.082555,0.086548,0.06688,0.072809,78967.00,8108280.00
1/4/17,0.075405,0.084885,0.074238,0.08279,64675.00,7405970.00
1/3/17,0.074296,0.076472,0.07072,0.075422,38564.00,7296950.00
1/2/17,0.074165,0.075801,0.068502,0.074299,64074.00,7283960.00
1/1/17,0.072355,0.075303,0.070218,0.072378,24800.00,7106110.00
12/31/16,0.070964,0.07358,0.067287,0.072431,28697.00,6969420.00
12/30/16,0.069614,0.073764,0.067489,0.070197,30432.00,6836780.00
12/29/16,0.066137,0.070584,0.063911,0.069614,34638.00,6495200.00
12/28/16,0.067865,0.071125,0.065123,0.066182,53526.00,6664860.00
12/27/16,0.067918,0.072046,0.064694,0.067826,64183.00,6669910.00
12/26/16,0.06554,0.068425,0.064243,0.067875,25071.00,6436290.00
12/25/16,0.06254,0.065987,0.059872,0.065548,13888.00,6141590.00
12/24/16,0.065564,0.068,0.061318,0.062518,20375.00,6438510.00
12/23/16,0.058626,0.069852,0.056611,0.06557,48217.00,5757140.00
12/22/16,0.061452,0.064846,0.057855,0.058648,69203.00,6034500.00
12/21/16,0.067623,0.06904,0.05746,0.061459,116647.00,6640440.00
12/20/16,0.073677,0.073777,0.065764,0.06592,63415.00,7234790.00
12/19/16,0.054998,0.109379,0.053786,0.07372,341170.00,5400570.00
12/18/16,0.057719,0.060099,0.05172,0.055016,23139.00,5667650.00
12/17/16,0.058904,0.060078,0.054209,0.057717,32640.00,5783930.00
12/16/16,0.058504,0.062792,0.055677,0.058697,18295.00,5744550.00
12/15/16,0.066035,0.066361,0.058365,0.058519,15331.00,6483990.00
12/14/16,0.066353,0.068473,0.065039,0.066035,13611.00,6515120.00
12/13/16,0.066636,0.068788,0.065415,0.06644,12530.00,6542820.00
12/12/16,0.062893,0.068878,0.062893,0.068624,14732.00,6175200.00
12/11/16,0.066296,0.0663,0.062784,0.062893,14964.00,6509250.00
12/10/16,0.068799,0.069915,0.064281,0.066287,6461.00,6754940.00
12/9/16,0.062929,0.068779,0.061421,0.068779,27050.00,6178510.00
12/8/16,0.062987,0.067263,0.061103,0.062941,11228.00,6184110.00
12/7/16,0.058462,0.067837,0.058462,0.062988,59404.00,5739800.00
12/6/16,0.066341,0.067899,0.05717,0.058463,42082.00,6513230.00
12/5/16,0.059588,0.069023,0.058035,0.066338,26501.00,5850190.00
12/4/16,0.061692,0.068016,0.057058,0.059561,27734.00,6056710.00
12/3/16,0.051461,0.069365,0.049155,0.061689,22706.00,5052160.00
12/2/16,0.056846,0.059882,0.048134,0.051445,55365.00,5580780.00
12/1/16,0.054846,0.061314,0.054085,0.056788,22493.00,5384310.00
11/30/16,0.059503,0.060661,0.053033,0.054847,40142.00,5841450.00
11/29/16,0.054207,0.062961,0.054123,0.059511,23552.00,5321500.00
11/28/16,0.05813,0.060183,0.053061,0.054205,18263.00,5706500.00
11/27/16,0.062743,0.065576,0.04956,0.05809,37613.00,6159260.00
